Abeillia abeillei
Abroscopus albogularis
Abroscopus superciliaris
Aburria aburri
Acanthagenys rufogularis
Acanthidops bairdi
Acanthis cabaret
Acanthis flammea
Acanthis hornemanni
Acanthisitta chloris
Acanthiza apicalis
Acanthiza chrysorrhoa
Acanthiza ewingii
Acanthiza inornata
Acanthiza lineata
Acanthiza nana
Acanthiza pusilla
Acanthiza reguloides
Acanthiza robustirostris
Acanthiza uropygialis
Acanthorhynchus superciliosus
Acanthorhynchus tenuirostris
Accipiter badius
Accipiter bicolor
Accipiter cirrocephalus
Accipiter cooperii
Accipiter erythronemius
Accipiter fasciatus
Accipiter gentilis
Accipiter gularis
Accipiter hiogaster
Accipiter melanoleucus
Accipiter minullus
Accipiter nisus
Accipiter novaehollandiae
Accipiter poliogaster
Accipiter striatus
Accipiter superciliosus
Accipiter tachiro
Accipiter trinotatus
Accipiter trivirgatus
Accipiter ventralis
Accipiter virgatus
Aceros nipalensis
Acridotheres burmannicus
Acridotheres cristatellus
Acridotheres fuscus
Acridotheres ginginianus
Acridotheres grandis
Acridotheres tristis
Acrocephalus agricola
Acrocephalus arundinaceus
Acrocephalus australis
Acrocephalus baeticatus
Acrocephalus bistrigiceps
Acrocephalus dumetorum
Acrocephalus gracilirostris
Acrocephalus kerearako
Acrocephalus melanopogon
Acrocephalus newtoni
Acrocephalus orientalis
Acrocephalus paludicola
Acrocephalus palustris
Acrocephalus rufescens
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Acrocephalus stentoreus
Acrocephalus tangorum
Acropternis orthonyx
Actenoides concretus
Actenoides hombroni
Actenoides lindsayi
Actenoides monachus
Actinodura cyanouroptera
Actinodura egertoni
Actinodura nipalensis
Actinodura ramsayi
Actinodura strigula
Actinodura waldeni
Actitis hypoleucos
Actitis macularius
Actophilornis africanus
Adelomyia melanogenys
Aechmophorus clarkii
Aechmophorus occidentalis
Aegithalos caudatus
Aegithalos concinnus
Aegithalos glaucogularis
Aegithalos niveogularis
Aegithina nigrolutea
Aegithina tiphia
Aegithina viridissima
Aegolius acadicus
Aegolius funereus
Aegolius harrisii
Aegolius ridgwayi
Aegotheles crinifrons
Aegotheles cristatus
Aeronautes andecolus
Aeronautes montivagus
Aeronautes saxatalis
Aethia pusilla
Aethopyga christinae
Aethopyga gouldiae
Aethopyga ignicauda
Aethopyga nipalensis
Aethopyga saturata
Aethopyga siparaja
Aethopyga temminckii
Aethopyga vigorsii
Agapornis fischeri
Agapornis personatus
Agapornis roseicollis
Agapornis taranta
Agelaioides badius
Agelaius phoeniceus
Agelaius tricolor
Agelasticus cyanopus
Agelasticus thilius
Aglaiocercus coelestis
Aglaiocercus kingii
Agriornis montanus
Agropsar philippensis
Ailuroedus crassirostris
Ailuroedus maculosus
Aimophila notosticta
Aimophila rufescens
Aimophila ruficeps
Aix galericulata
Aix sponsa
Akletos goeldii
Akletos melanoceps
Alaemon alaudipes
Alauda arvensis
Alauda gulgula
Alauda leucoptera
Alaudala cheleensis
Alaudala raytal
Alaudala rufescens
Alca torda
Alcedo atthis
Alcedo coerulescens
Alcedo meninting
Alcippe brunneicauda
Alcippe fratercula
Alcippe hueti
Alcippe morrisonia
Alcippe nipalensis
Alcippe peracensis
Alcippe poioicephala
Alcippe pyrrhoptera
Aleadryas rufinucha
Alectoris barbara
Alectoris chukar
Alectoris graeca
Alectoris rufa
Alectura lathami
Alethe castanea
Alethe diademata
Alipiopsitta xanthops
Alisterus scapularis
Alophoixus flaveolus
Alophoixus longirostris
Alophoixus ochraceus
Alophoixus pallidus
Alophoixus phaeocephalus
Alopochelidon fucata
Alopochen aegyptiaca
Amalocichla incerta
Amandava amandava
Amaurolimnas concolor
Amaurornis cinerea
Amaurornis isabellina
Amaurornis moluccana
Amaurornis phoenicurus
Amaurospiza aequatorialis
Amaurospiza concolor
Amaurospiza moesta
Amazilia amabilis
Amazilia amazilia
Amazilia beryllina
Amazilia brevirostris
Amazilia candida
Amazilia castaneiventris
Amazilia chionogaster
Amazilia cyanifrons
Amazilia cyanocephala
Amazilia decora
Amazilia edward
Amazilia fimbriata
Amazilia franciae
Amazilia lactea
Amazilia leucogaster
Amazilia luciae
Amazilia rosenbergi
Amazilia rutila
Amazilia saucerottei
Amazilia tobaci
Amazilia tzacatl
Amazilia versicolor
Amazilia violiceps
Amazilia viridicauda
Amazilia yucatanensis
Amazona aestiva
Amazona agilis
Amazona albifrons
Amazona amazonica
Amazona auropalliata
Amazona autumnalis
Amazona brasiliensis
Amazona dufresniana
Amazona farinosa
Amazona festiva
Amazona finschi
Amazona guatemalae
Amazona kawalli
Amazona leucocephala
Amazona mercenarius
Amazona ochrocephala
Amazona oratrix
Amazona rhodocorytha
Amazona tucumana
Amazona ventralis
Amazona vinacea
Amazona viridigenalis
Amazona xantholora
Amazonetta brasiliensis
Amblycercus holosericeus
Amblyornis inornata
Amblyornis newtoniana
Amblyospiza albifrons
Amblyramphus holosericeus
Ammodramus aurifrons
Ammodramus humeralis
Ammodramus savannarum
Ammomanes cinctura
Ammomanes deserti
Ammomanes phoenicura
Ammonastes pelzelni
Ammoperdix heyi
Ammospiza caudacuta
Ammospiza leconteii
Ammospiza maritima
Ammospiza nelsoni
Ampelioides tschudii
Ampelion rubrocristatus
Ampelion rufaxilla
Ampelornis griseiceps
Amphilais seebohmi
Amphispiza bilineata
Amphispiza quinquestriata
Anabacerthia amaurotis
Anabacerthia lichtensteini
Anabacerthia ruficaudata
Anabacerthia striaticollis
Anabacerthia variegaticeps
Anabathmis newtonii
Anabathmis reichenbachii
Anabazenops dorsalis
Anabazenops fuscus
Anairetes alpinus
Anairetes fernandezianus
Anairetes flavirostris
Anairetes nigrocristatus
Anairetes parulus
Anairetes reguloides
Anas acuta
Anas andium
Anas carolinensis
Anas castanea
Anas crecca
Anas diazi
Anas flavirostris
Anas fulvigula
Anas georgica
Anas gracilis
Anas platyrhynchos
Anas poecilorhyncha
Anas rubripes
Anas superciliosa
Anas undulata
Anas zonorhyncha
Ancistrops strigilatus
Andigena hypoglauca
Andigena laminirostris
Andigena nigrirostris
Androdon aequatorialis
Andropadus importunus
Anhima cornuta
Anhinga anhinga
Anhinga melanogaster
Anhinga novaehollandiae
Anisognathus igniventris
Anisognathus lacrymosus
Anisognathus notabilis
Anisognathus somptuosus
Anodorhynchus hyacinthinus
Anodorhynchus leari
Anorrhinus galeritus
Anorrhinus tickelli
Anous minutus
Anous stolidus
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser caerulescens
Anser canagicus
Anser cygnoides
Anser erythropus
Anser fabalis
Anser indicus
Anser rossii
Anser serrirostris
Anseranas semipalmata
Anthipes monileger
Anthipes solitaris
Anthochaera carunculata
Anthochaera chrysoptera
Anthochaera lunulata
Anthochaera paradoxa
Anthornis melanura
Anthoscopus minutus
Anthoscopus musculus
Anthracoceros albirostris
Anthracoceros coronatus
Anthracoceros malayanus
Anthracothorax dominicus
Anthracothorax nigricollis
Anthracothorax prevostii
Anthreptes malacensis
Anthreptes orientalis
Anthreptes simplex
Anthropoides paradiseus
Anthropoides virgo
Anthus antarcticus
Anthus berthelotii
Anthus bogotensis
Anthus brevirostris
Anthus campestris
Anthus cervinus
Anthus chacoensis
Anthus cinnamomeus
Anthus correndera
Anthus crenatus
Anthus furcatus
Anthus godlewskii
Anthus gustavi
Anthus hellmayri
Anthus hodgsoni
Anthus leucophrys
Anthus lineiventris
Anthus lutescens
Anthus nattereri
Anthus novaeseelandiae
Anthus peruvianus
Anthus petrosus
Anthus pratensis
Anthus richardi
Anthus roseatus
Anthus rubescens
Anthus rufulus
Anthus similis
Anthus spinoletta
Anthus spragueii
Anthus sylvanus
Anthus trivialis
Antigone antigone
Antigone canadensis
Antigone rubicunda
Antigone vipio
Antilophia bokermanni
Antilophia galeata
Antrostomus arizonae
Antrostomus badius
Antrostomus carolinensis
Antrostomus noctitherus
Antrostomus ridgwayi
Antrostomus rufus
Antrostomus saturatus
Antrostomus sericocaudatus
Antrostomus vociferus
Anumara forbesi
Anumbius annumbi
Anurolimnas castaneiceps
Anurolimnas fasciatus
Anurolimnas viridis
Apalis chapini
Apalis cinerea
Apalis flavida
Apalis melanocephala
Apalis personata
Apalis porphyrolaema
Apalis ruddi
Apalis rufogularis
Apalis sharpii
Apalis thoracica
Apaloderma narina
Apaloderma vittatum
Aphanotriccus audax
Aphanotriccus capitalis
Aphantochroa cirrochloris
Aphelocephala leucopsis
Aphelocoma californica
Aphelocoma coerulescens
Aphelocoma insularis
Aphelocoma ultramarina
Aphelocoma unicolor
Aphelocoma wollweberi
Aphelocoma woodhouseii
Aphrastura spinicauda
Aplonis atrifusca
Aplonis cantoroides
Aplonis grandis
Aplonis metallica
Aplonis mysolensis
Aplonis opaca
Aplonis panayensis
Aplonis tabuensis
Aprositornis disjuncta
Aprosmictus erythropterus
Aptenodytes patagonicus
Apteryx mantelli
Apus affinis
Apus apus
Apus caffer
Apus melba
Apus nipalensis
Apus pacificus
Apus pallidus
Apus unicolor
Aquila adalberti
Aquila chrysaetos
Ara ararauna
Ara chloropterus
Ara macao
Ara militaris
Ara severus
Arachnothera everetti
Arachnothera flavigaster
Arachnothera longirostra
Arachnothera magna
Aramides albiventris
Aramides axillaris
Aramides cajaneus
Aramides saracura
Aramides wolfi
Aramides ypecaha
Aramus guarauna
Aratinga auricapillus
Aratinga jandaya
Aratinga nenday
Aratinga weddellii
Arborophila ardens
Arborophila atrogularis
Arborophila campbelli
Arborophila chloropus
Arborophila crudigularis
Arborophila hyperythra
Arborophila javanica
Arborophila orientalis
Arborophila rufogularis
Arborophila torqueola
Arcanator orostruthus
Archilochus alexandri
Archilochus colubris
Ardea alba
Ardea cinerea
Ardea cocoi
Ardea herodias
Ardea intermedia
Ardea purpurea
Ardenna creatopus
Ardenna grisea
Ardenna pacifica
Ardeola bacchus
Ardeola grayii
Ardeola ralloides
Arenaria interpres
Arenaria melanocephala
Argusianus argus
Arizelocichla chlorigula
Arremon abeillei
Arremon assimilis
Arremon atricapillus
Arremon aurantiirostris
Arremon basilicus
Arremon brunneinucha
Arremon castaneiceps
Arremon costaricensis
Arremon crassirostris
Arremon flavirostris
Arremon franciscanus
Arremon schlegeli
Arremon semitorquatus
Arremon taciturnus
Arremon torquatus
Arremon virenticeps
Arremonops chloronotus
Arremonops conirostris
Arremonops rufivirgatus
Arremonops tocuyensis
Arses telescopthalmus
Artamus cinereus
Artamus cyanopterus
Artamus fuscus
