Abeillia abeillei_Keolibřík smaragdovohrdlý
Abroscopus albogularis_Beudníček rezavolící
Abroscopus superciliaris_Beudníček šedokorunkatý
Aburria aburri_Geuan aburri
Acanthagenys rufogularis_Meedosavka modrooká
Acanthidops bairdi_Peěnkavka Bairdova
Acanthis cabaret_Čeečetka tmavá
Acanthis flammea_Čeečetka zimní
Acanthis hornemanni_Čeečetka bělavá
Acanthisitta chloris_Peokřovník zelený
Acanthiza apicalis_Setřízlíkovec australský
Acanthiza chrysorrhoa_Setřízlíkovec žlutokostřecový
Acanthiza ewingii_Setřízlíkovec jižní
Acanthiza inornata_Setřízlíkovec západoaustralský
Acanthiza lineata_Setřízlíkovec blahovičníkový
Acanthiza nana_Setřízlíkovec žlutý
Acanthiza pusilla_Setřízlíkovec rudooký
Acanthiza reguloides_Setřízlíkovec východoaustralský
Acanthiza robustirostris_Setřízlíkovec šedohřbetý
Acanthiza uropygialis_Setřízlíkovec světlebřichý
Acanthorhynchus superciliosus_Jeehlozobka západní
Acanthorhynchus tenuirostris_Jeehlozobka východní
Accipiter badius_Kerahujec šikra
Accipiter bicolor_Jeestřáb dvoubarvý
Accipiter cirrocephalus_Kerahujec rudolímcový
Accipiter cooperii_Jeestřáb Cooperův
Accipiter erythronemius_Jeestřáb rudorousý
Accipiter fasciatus_Jeestřáb australský
Accipiter gentilis_Jeestřáb lesní
Accipiter gularis_Kerahujec menší
Accipiter hiogaster_Variable Goshawk
Accipiter melanoleucus_Jeestřáb černohřbetý
Accipiter minullus_Kerahujec nejmenší
Accipiter nisus_Kerahujec obecný
Accipiter novaehollandiae_Jeestřáb proměnlivý
Accipiter poliogaster_Jeestřáb jihoamerický
Accipiter striatus_Kerahujec americký
Accipiter superciliosus_Kerahujec malý
Accipiter tachiro_Jeestřáb tachiro
Accipiter trinotatus_Kerahujec třískvrnný
Accipiter trivirgatus_Jeestřáb chocholatý
Accipiter ventralis_Kerahujec kolumbijský
Accipiter virgatus_Kerahujec besra
Aceros nipalensis_Zeoborožec rudokrký
Acridotheres burmannicus_Meajna barmská
Acridotheres cristatellus_Meajna chocholatá
Acridotheres fuscus_Meajna hnědá
Acridotheres ginginianus_Meajna pobřežní
Acridotheres grandis_Meajna velká
Acridotheres tristis_Meajna obecná
Acrocephalus agricola_Reákosník plavý
Acrocephalus arundinaceus_Reákosník velký
Acrocephalus australis_Reákosník australský
Acrocephalus baeticatus_Reákosník africký
Acrocephalus bistrigiceps_Reákosník východní
Acrocephalus dumetorum_Reákosník pokřovní
Acrocephalus gracilirostris_Reákosník jižní
Acrocephalus kerearako_Reákosník mitiaroský
Acrocephalus melanopogon_Reákosník tamaryškový
Acrocephalus newtoni_Reákosník madagaskarský
Acrocephalus orientalis_Reákosník sibiřský
Acrocephalus paludicola_Reákosník ostřicový
Acrocephalus palustris_Reákosník zpěvný
Acrocephalus rufescens_Reákosník větší
Acrocephalus schoenobaenus_Reákosník proužkovaný
Acrocephalus scirpaceus_Reákosník obecný
Acrocephalus stentoreus_Reákosník hlučnohlasý
Acrocephalus tangorum_Reákosník mandžuský
Acropternis orthonyx_Šetidlák perličkový
Actenoides concretus_Leedňáček rezavolímcový
Actenoides hombroni_Leedňáček modrotemenný
Actenoides lindsayi_Leedňáček skvrnitý
Actenoides monachus_Leedňáček poustevnický
Actinodura cyanouroptera_Teimálie modroperá
Actinodura egertoni_Teimálie rezavošedá
Actinodura nipalensis_Teimálie ojíněná
Actinodura ramsayi_Teimálie brýlatá
Actinodura strigula_Teimálie žlutoocasá
Actinodura waldeni_Teimálie drozdí
Actitis hypoleucos_Peisík obecný
Actitis macularius_Peisík americký
Actophilornis africanus_Oestnák africký
Adelomyia melanogenys_Keolibřík mozaikový
Aechmophorus clarkii_Peotápka Clarkova
Aechmophorus occidentalis_Peotápka západní
Aegithalos caudatus_Melynařík dlouhoocasý
Aegithalos concinnus_Melynařík kaštanovotemenný
Aegithalos glaucogularis_Silver-throated Tit
Aegithalos niveogularis_Melynařík bělohrdlý
Aegithina nigrolutea_Jeora černohlavá
Aegithina tiphia_Jeora černokřídlá
Aegithina viridissima_Jeora zelená
Aegolius acadicus_Seýc americký
Aegolius funereus_Seýc rousný
Aegolius harrisii_Seýc plavočelý
Aegolius ridgwayi_Seýc panamský
Aegotheles crinifrons_Leelčík molucký
Aegotheles cristatus_Leelčík australský
Aeronautes andecolus_Reorýs andský
Aeronautes montivagus_Reorýs horský
Aeronautes saxatalis_Reorýs bělohrdlý
Aethia pusilla_Aelkounek nejmenší
Aethopyga christinae_Setrdimil vidloocasý
Aethopyga gouldiae_Setrdimil rudohřbetý
Aethopyga ignicauda_Setrdimil plamenoocasý
Aethopyga nipalensis_Setrdimil indomalajský
Aethopyga saturata_Setrdimil černohrdlý
Aethopyga siparaja_Setrdimil karmínovoprsý
Aethopyga temminckii_Setrdimil vousatý
Aethopyga vigorsii_Setrdimil západoindický
Agapornis fischeri_Aegapornis Fischerův
Agapornis personatus_Aegapornis škraboškový
