Abeillia abeillei_Viherleukakolibri
Abroscopus albogularis_Pikkulehväkerttu
Abroscopus superciliaris_Bambulehväkerttu
Aburria aburri_Helttasaku
Acanthagenys rufogularis_Mustapyrstömesikko
Acanthidops bairdi_Kiilanokkasirkku
Acanthis cabaret_Lsser Redpoll
Acanthis flammea_Urpiainen
Acanthis hornemanni_Tundraurpiainen
Acanthisitta chloris_Metsävilistäjä
Acanthiza apicalis_Vipeväotsamaluri
Acanthiza chrysorrhoa_Keltaperämaluri
Acanthiza ewingii_Tasmaniantiaismaluri
Acanthiza inornata_Matkijatiaismaluri
Acanthiza lineata_Ruskopäämaluri
Acanthiza nana_Keltavatsamaluri
Acanthiza pusilla_Kaneliperämaluri
Acanthiza reguloides_Ruso-otsamaluri
Acanthiza robustirostris_Valkovatsamaluri
Acanthiza uropygialis_Pähkinäperämaluri
Acanthorhynchus superciliosus_Vyömesikko
Acanthorhynchus tenuirostris_Naskalivyömesikko
Accipiter badius_Arovarpushaukka
Accipiter bicolor_Ruostehousuhaukka
Accipiter cirrocephalus_Ruosteniskahaukka
Accipiter cooperii_Kyyhkyhaukka
Accipiter erythronemius_Rfous-thighed Hawk
Accipiter fasciatus_Australiankanahaukka
Accipiter gentilis_Kanahaukka
Accipiter gularis_Idänvarpushaukka
Accipiter hiogaster_Punakanahaukka
Accipiter melanoleucus_Mustakanahaukka
Accipiter minullus_Afrikanvarpushaukka
Accipiter nisus_Varpushaukka
Accipiter novaehollandiae_Vaaleakanahaukka
Accipiter poliogaster_Amazoniankanahaukka
Accipiter striatus_Amerikanvarpushaukka
Accipiter superciliosus_Kolibrihaukka
Accipiter tachiro_Afrikanlintuhaukka
Accipiter trinotatus_Liskovarpushaukka
Accipiter trivirgatus_Töyhtölintuhaukka
Accipiter ventralis_Pain-breasted Hawk
Accipiter virgatus_Ruostevarpushaukka
Aceros nipalensis_Kiilasarvinokka
Acridotheres burmannicus_Naamiokottarainen
Acridotheres cristatellus_Riisimaina
Acridotheres fuscus_Viidakkomaina
Acridotheres ginginianus_Intianmaina
Acridotheres grandis_Töyhtömaina
Acridotheres tristis_Pihamaina
Acrocephalus agricola_Kenttäkerttunen
Acrocephalus arundinaceus_Rastaskerttunen
Acrocephalus australis_Australianrastaskerttunen
Acrocephalus baeticatus_Afrikanrytikerttunen
Acrocephalus bistrigiceps_Mustakulmakerttunen
Acrocephalus dumetorum_Viitakerttunen
Acrocephalus gracilirostris_Afrikanruokokerttunen
Acrocephalus kerearako_Cookinkerttunen
Acrocephalus melanopogon_Osmankäämikerttunen
Acrocephalus newtoni_Madagaskarinrastaskerttunen
Acrocephalus orientalis_Idänrastaskerttunen
Acrocephalus paludicola_Sarakerttunen
Acrocephalus palustris_Luhtakerttunen
Acrocephalus rufescens_Ruskorastaskerttunen
Acrocephalus schoenobaenus_Ruokokerttunen
Acrocephalus scirpaceus_Rytikerttunen
Acrocephalus stentoreus_Papyruskerttunen
Acrocephalus tangorum_Mantsuriankerttunen
Acropternis orthonyx_Helmitapakulo
Actenoides concretus_Viherlakkikalastaja
Actenoides hombroni_Mindanaonkalastaja
Actenoides lindsayi_Täplämetsäkalastaja
Actenoides monachus_Erakkokalastaja
Actinodura cyanouroptera_Siniminla
Actinodura egertoni_Ruosteotsatimali
Actinodura nipalensis_Nepalinraitatimali
Actinodura ramsayi_Rilliraitatimali
Actinodura strigula_Keltaminla
Actinodura waldeni_Burmanraitatimali
Actitis hypoleucos_Rantasipi
Actitis macularius_Amerikansipi
Actophilornis africanus_Afrikanjassana
Adelomyia melanogenys_Pisamakolibri
Aechmophorus clarkii_Meksikonuikku
Aechmophorus occidentalis_Pitkäkaulauikku
Aegithalos caudatus_Pyrstötiainen
Aegithalos concinnus_Harlekiinipyrstötiainen
Aegithalos glaucogularis_Harmaapyrstötiainen
Aegithalos niveogularis_Himalajanpyrstötiainen
Aegithina nigrolutea_Intianjora
Aegithina tiphia_Jora
Aegithina viridissima_Viherjora
Aegolius acadicus_Amerikanhelmipöllö
Aegolius funereus_Helmipöllö
Aegolius harrisii_Keltahelmipöllö
Aegolius ridgwayi_Ruskohelmipöllö
Aegotheles crinifrons_Sundankehrääjä
Aegotheles cristatus_Australiankehrääjä
Aeronautes andecolus_Andienkiitäjä
Aeronautes montivagus_Vuorikiitäjä
Aeronautes saxatalis_Kalliokiitäjä
Aethia pusilla_Pikkukiislanen
Aethopyga christinae_Haarapyrstömedestäjä
Aethopyga gouldiae_Paratiisimedestäjä
Aethopyga ignicauda_Tulipyrstömedestäjä
Aethopyga nipalensis_Sateenkaarimedestäjä
Aethopyga saturata_Laidunmedestäjä
Aethopyga siparaja_Karmiinimedestäjä
Aethopyga temminckii_Punamedestäjä
Aethopyga vigorsii_Deccaninmedestäjä
Agapornis fischeri_Viktoriankaijanen
Agapornis personatus_Naamiokaijanen
Agapornis roseicollis_Ruusukaijanen
Agapornis taranta_Isokaijanen
Agelaioides badius_Ruskoturpiaali
Agelaius phoeniceus_Punaolkaturpiaali
Agelaius tricolor_Kalifornianturpiaali
Agelasticus cyanopus_Mustakosteikkoturpiaali
Agelasticus thilius_Liekkisiipiturpiaali
Aglaiocercus coelestis_Säihkyhännyskolibri
Aglaiocercus kingii_Turkoosihännyskolibri
Agriornis montanus_Paramotyranni
Agropsar philippensis_Kanelikorvakottarainen
Ailuroedus crassirostris_Smaragdinaukuja
Ailuroedus maculosus_Sotted Catbird
Aimophila notosticta_Oaxacansirkkuli
Aimophila rufescens_Isosirkkuli
Aimophila ruficeps_Ruskolakkisirkkuli
Aix galericulata_Mandariinisorsa
Aix sponsa_Morsiosorsa
Akletos goeldii_Isonokimuura
Akletos melanoceps_Valko-olkamuura
Alaemon alaudipes_Kirjosiipikiuru
Alauda arvensis_Kiuru
Alauda gulgula_Aasiankiuru
Alauda leucoptera_Valkosiipikiuru
Alaudala cheleensis_Mongolianhietakiuru
Alaudala raytal_Intianhietakiuru
