Abeillia abeillei_コバシハチドリ
Abroscopus albogularis_コシジロムシクイ
Abroscopus superciliaris_マミジロムシクイ
Aburria aburri_ニクダレシャクケイ
Acanthagenys rufogularis_ケミミミツスイ
Acanthidops bairdi_ハシナガシトド
Acanthis cabaret_Lesser Redpoll
Acanthis flammea_ベニヒワ
Acanthis hornemanni_コベニヒワ
Acanthisitta chloris_ミドリイワサザイ
Acanthiza apicalis_ヒロオトゲハシムシクイ
Acanthiza chrysorrhoa_コモントゲハシムシクイ
Acanthiza ewingii_タスマニアトゲハシムシクイ
Acanthiza inornata_ニシトゲハシムシクイ
Acanthiza lineata_ムナフトゲハシムシクイ
Acanthiza nana_ヒメトゲハシムシクイ
Acanthiza pusilla_チャイロトゲハシムシクイ
Acanthiza reguloides_ウグイストゲハシムシクイ
Acanthiza robustirostris_ハイイロトゲハシムシクイ
Acanthiza uropygialis_コシアカトゲハシムシクイ
Acanthorhynchus superciliosus_ニシキリハシミツスイ
Acanthorhynchus tenuirostris_キリハシミツスイ
Accipiter badius_タカサゴダカ
Accipiter bicolor_モモアカハイタカ
Accipiter cirrocephalus_アカエリツミ
Accipiter cooperii_クーパーハイタカ
Accipiter erythronemius_モモアカアシボソハイタカ
Accipiter fasciatus_アカハラオオタカ
Accipiter gentilis_オオタカ
Accipiter gularis_ツミ
Accipiter hiogaster_カワリオオタカ
Accipiter melanoleucus_オオハイタカ
Accipiter minullus_アフリカツミ
Accipiter nisus_ハイタカ
Accipiter novaehollandiae_ハイイロオオタカ
Accipiter poliogaster_セグロオオタカ
Accipiter striatus_アシボソハイタカ
Accipiter superciliosus_ヒメハイタカ
Accipiter tachiro_アフリカオオタカ
Accipiter trinotatus_シラボシオオタカ
Accipiter trivirgatus_カンムリオオタカ
Accipiter ventralis_フナシアシボソハイタカ
Accipiter virgatus_ミナミツミ
Aceros nipalensis_ナナミゾサイチョウ
Acridotheres burmannicus_シロガシラムクドリ
Acridotheres cristatellus_ハッカチョウ
Acridotheres fuscus_モリハッカ
Acridotheres ginginianus_ハイイロハッカ
Acridotheres grandis_オオハッカ
Acridotheres tristis_インドハッカ
Acrocephalus agricola_イナダヨシキリ
Acrocephalus arundinaceus_ニシオオヨシキリ
Acrocephalus australis_オーストラリアヨシキリ
Acrocephalus baeticatus_アフリカヨシキリ
Acrocephalus bistrigiceps_コヨシキリ
Acrocephalus dumetorum_ヤブヨシキリ
Acrocephalus gracilirostris_アシナガヨシキリ
