Abeillia abeillei_Smaragdstrupekolibri
Abroscopus albogularis_Rustmaskesanger
Abroscopus superciliaris_Hvitbrynsanger
Aburria aburri_Gulflikhokko
Acanthagenys rufogularis_Rosennebbhonningeter
Acanthidops bairdi_Spissnebbspurv
Acanthis cabaret_Brunsisik
Acanthis flammea_Gråsisik
Acanthis hornemanni_Polarsisik
Acanthisitta chloris_Skogklatresmett
Acanthiza apicalis_Krattornsmett
Acanthiza chrysorrhoa_Gulgumptornsmett
Acanthiza ewingii_Tasmantornsmett
Acanthiza inornata_Vesttornsmett
Acanthiza lineata_Stripetornsmett
Acanthiza nana_Gultornsmett
Acanthiza pusilla_Bruntornsmett
Acanthiza reguloides_Okergumptornsmett
Acanthiza robustirostris_Mulgatornsmett
Acanthiza uropygialis_Kastanjegumptornsmett
Acanthorhynchus superciliosus_Trikolorhonningeter
Acanthorhynchus tenuirostris_Prydhonningeter
Accipiter badius_Shikrahauk
Accipiter bicolor_Indianerhauk
Accipiter cirrocephalus_Eukalyptushauk
Accipiter cooperii_Trostehauk
Accipiter erythronemius_Rustlegghauk
Accipiter fasciatus_Bendelhauk
Accipiter gentilis_Hønsehauk
Accipiter gularis_Finkehauk
Accipiter hiogaster_Protevshauk
Accipiter melanoleucus_Nonnehauk
Accipiter minullus_Dverghauk
Accipiter nisus_Spurvehauk
Accipiter novaehollandiae_Askehauk
Accipiter poliogaster_Gråbukhauk
Accipiter striatus_Tverrhalehauk
Accipiter superciliosus_Kolibrihauk
Accipiter tachiro_Bantuhauk
Accipiter trinotatus_Flekkhalehauk
Accipiter trivirgatus_Topphauk
Accipiter ventralis_Andeshauk
Accipiter virgatus_Besrahauk
Aceros nipalensis_Rødhalshornfugl
Acridotheres burmannicus_Vinstær
Acridotheres cristatellus_Krøllstær
Acridotheres fuscus_Krattstær
Acridotheres ginginianus_Landsbystær
Acridotheres grandis_Engstær
Acridotheres tristis_Hyrdestær
Acrocephalus agricola_Åkersanger
Acrocephalus arundinaceus_Trostesanger
Acrocephalus australis_Australtrostesanger
Acrocephalus baeticatus_Afrikarørsanger
Acrocephalus bistrigiceps_Tvebrynsanger
Acrocephalus dumetorum_Busksanger
Acrocephalus gracilirostris_Dunkjevlesanger
Acrocephalus kerearako_Kerearakosanger
Acrocephalus melanopogon_Tamarisksanger
Acrocephalus newtoni_Damsanger
Acrocephalus orientalis_Orienttrostesanger
Acrocephalus paludicola_Vannsanger
Acrocephalus palustris_Myrsanger
Acrocephalus rufescens_Papyrussanger
Acrocephalus schoenobaenus_Sivsanger
Acrocephalus scirpaceus_Rørsanger
Acrocephalus stentoreus_Stentorsanger
Acrocephalus tangorum_Mandsjuriasanger
Acropternis orthonyx_Perletapakulo
Actenoides concretus_Skjeggisfugl
Actenoides hombroni_Mindanaoisfugl
Actenoides lindsayi_Dråpeisfugl
Actenoides monachus_Munkeisfugl
