Abeillia abeillei_Zielaczek
Abroscopus albogularis_Skrytoczub rdzawolicy
Abroscopus superciliaris_Skrytoczub białobrewy
Aburria aburri_Grdacz soplowaty
Acanthagenys rufogularis_Kolcoliczek
Acanthidops bairdi_Bambusozięb ostrodzioby
Acanthis cabaret_Czeczotka brązowa
Acanthis flammea_Czeczotka (zwyczajna)
Acanthis hornemanni_Czeczotka tundrowa
Acanthisitta chloris_Barglik
Acanthiza apicalis_Buszówka szerokosterna
Acanthiza chrysorrhoa_Buszówka żółtorzytna
Acanthiza ewingii_Buszówka rdzawoczelna
Acanthiza inornata_Buszówka uboga
Acanthiza lineata_Buszówka kreskowana
Acanthiza nana_Buszówka żółtobrzucha
Acanthiza pusilla_Buszówka brązowa
Acanthiza reguloides_Buszówka zmienna
Acanthiza robustirostris_Buszówka śniada
Acanthiza uropygialis_Buszówka rudorzytna
Acanthorhynchus superciliosus_Miodopijek rdzawoszyi
Acanthorhynchus tenuirostris_Miodopijek długodzioby
Accipiter badius_Krogulec mały
Accipiter bicolor_Krogulec dwubarwny
Accipiter cirrocephalus_Krogulec obrożny
Accipiter cooperii_Krogulec czarnołbisty
Accipiter erythronemius_Krogulec brazylijski
Accipiter fasciatus_Krogulec brunatny
Accipiter gentilis_Jastrząb (zwyczajny)
Accipiter gularis_Krogulec japoński
Accipiter hiogaster_Krogulec rdzawobrzuchy
Accipiter melanoleucus_Jastrząb czarno-biały
Accipiter minullus_Krogulec skromny
Accipiter nisus_Krogulec (zwyczajny)
Accipiter novaehollandiae_Krogulec australijski
Accipiter poliogaster_Krogulec siwobrzuchy
Accipiter striatus_Krogulec zmienny
Accipiter superciliosus_Jastrząb drobny
Accipiter tachiro_Krogulec trzypręgowy
Accipiter trinotatus_Krogulec plamosterny
Accipiter trivirgatus_Krogulec czubaty
Accipiter ventralis_Krogulec andyjski
Accipiter virgatus_Krogulec orientalny
Aceros nipalensis_Dzioborożec rudy
Acridotheres burmannicus_Majna birmańska
Acridotheres cristatellus_Majna czubata
Acridotheres fuscus_Majna szara
Acridotheres ginginianus_Majna norowa
Acridotheres grandis_Majna żałobna
Acridotheres tristis_Majna brunatna
Acrocephalus agricola_Trzcinniczek kaspijski
Acrocephalus arundinaceus_Trzciniak (zwyczajny)
Acrocephalus australis_Trzciniak australijski
Acrocephalus baeticatus_Trzcinniczek tęposkrzydły
Acrocephalus bistrigiceps_Trzcinniczek szerokobrewy
Acrocephalus dumetorum_Zaroślówka
Acrocephalus gracilirostris_Trzciniak jasnobrewy
Acrocephalus kerearako_Trzciniak oliwkowy
Acrocephalus melanopogon_Tamaryszka
Acrocephalus newtoni_Trzciniak madagaskarski
Acrocephalus orientalis_Trzciniak wschodni
Acrocephalus paludicola_Wodniczka
Acrocephalus palustris_Łozówka
Acrocephalus rufescens_Trzciniak papirusowy
Acrocephalus schoenobaenus_Rokitniczka
Acrocephalus scirpaceus_Trzcinniczek (zwyczajny)
Acrocephalus stentoreus_Trzciniak głośny
Acrocephalus tangorum_Trzcinniczek mandżurski
Acropternis orthonyx_Szponniczek
Actenoides concretus_Krasnogłów sundajski
Actenoides hombroni_Krasnogłów modry
Actenoides lindsayi_Krasnogłów plamisty
Actenoides monachus_Krasnogłów białogardły
Actinodura cyanouroptera_Prążkopiór modroskrzydły
Actinodura egertoni_Prążkopiór rdzawoczelny
Actinodura nipalensis_Prążkopiór nepalski
Actinodura ramsayi_Prążkopiór okularowy
Actinodura strigula_Prążkopiór rudogłowy
Actinodura waldeni_Prążkopiór birmański
Actitis hypoleucos_Brodziec piskliwy
Actitis macularius_Brodziec plamisty
Actophilornis africanus_Długoszpon afrykański
Adelomyia melanogenys_Płowik
Aechmophorus clarkii_Perkoz żółtodzioby
Aechmophorus occidentalis_Perkoz wielki
Aegithalos caudatus_Raniuszek (zwyczajny)
Aegithalos concinnus_Raniuszek czarnogardły
Aegithalos glaucogularis_Raniuszek czarnołbisty
Aegithalos niveogularis_Raniuszek białogardły
Aegithina nigrolutea_Paskownik białosterny
Aegithina tiphia_Paskownik zmienny
Aegithina viridissima_Paskownik zielony
Aegolius acadicus_Włochatka mała
Aegolius funereus_Włochatka (zwyczajna)
Aegolius harrisii_Włochatka obrożna
Aegolius ridgwayi_Włochatka białolica
Aegotheles crinifrons_Sownik wąsaty
Aegotheles cristatus_Sownik australijski
Aeronautes andecolus_Aeronauta andyjski
Aeronautes montivagus_Aeronauta białoplamy
Aeronautes saxatalis_Aeronauta białogardły
Aethia pusilla_Nurniczek malutki
Aethopyga christinae_Kwiatownik widłosterny
Aethopyga gouldiae_Kwiatownik ozdobny
Aethopyga ignicauda_Kwiatownik ognistosterny
Aethopyga nipalensis_Kwiatownik zielonosterny
Aethopyga saturata_Kwiatownik niebieskosterny
Aethopyga siparaja_Kwiatownik szkarłatny
Aethopyga temminckii_Kwiatownik czerwony
Aethopyga vigorsii_Kwiatownik indyjski
Agapornis fischeri_Nierozłączka rudogłowa
Agapornis personatus_Nierozłączka czarnogłowa
Agapornis roseicollis_Nierozłączka czerwonoczelna
Agapornis taranta_Nierozłączka czarnoskrzydła
Agelaioides badius_Szarokacyk
Agelaius phoeniceus_Epoletnik krasnoskrzydły
Agelaius tricolor_Epoletnik trójbarwny
Agelasticus cyanopus_Ciemnokacyk jednobarwny
Agelasticus thilius_Ciemnokacyk żółtoskrzydły
Aglaiocercus coelestis_Komecik fioletowosterny
