Abeillia abeillei_Keolibrík zelenobradý
Abroscopus albogularis_Peradešan červenolíci
Abroscopus superciliaris_Peradešan bambusový
Aburria aburri_Meorkovec lalôčkový
Acanthagenys rufogularis_Meedárik hnedohrdlý
Acanthidops bairdi_Peinkavka sivá
Acanthis cabaret_Setehlík hnedkavý
Acanthis flammea_Setehlík čečetka
Acanthis hornemanni_Setehlík polárny
Acanthisitta chloris_Setriežik zelenkavý
Acanthiza apicalis_Oestrozobka hnedochvostá
Acanthiza chrysorrhoa_Oestrozobka lúčna
Acanthiza ewingii_Oestrozobka tasmánska
Acanthiza inornata_Oestrozobka plavá
Acanthiza lineata_Oestrozobka čiarková
Acanthiza nana_Oestrozobka žltobruchá
Acanthiza pusilla_Oestrozobka hrdzavočelá
Acanthiza reguloides_Oestrozobka kôrarská
Acanthiza robustirostris_Oestrozobka popolavá
Acanthiza uropygialis_Oestrozobka bútľavinová
Acanthorhynchus superciliosus_Peeliar hrdzavokrký
Acanthorhynchus tenuirostris_Peeliar tenkozobý
Accipiter badius_Jeastrab šikra
Accipiter bicolor_Jeastrab dvojfarebný
Accipiter cirrocephalus_Jeastrab goliernatý
Accipiter cooperii_Jeastrab čiapočkatý
Accipiter erythronemius_Jeastrab štíhly
Accipiter fasciatus_Jeastrab pásikavý
Accipiter gentilis_Jeastrab veľký
Accipiter gularis_Jeastrab japonský
Accipiter hiogaster_Jeastrab hrdzavobruchý
Accipiter melanoleucus_Jeastrab čierno-biely
Accipiter minullus_Jeastrab krahulček
Accipiter nisus_Jeastrab krahulec
Accipiter novaehollandiae_Jeastrab menlivý
Accipiter poliogaster_Jeastrab sivobruchý
Accipiter striatus_Jeastrab čiarkový
Accipiter superciliosus_Jeastrab drobný
Accipiter tachiro_Jeastrab tachiro
Accipiter trinotatus_Jeastrab trojškvrnový
Accipiter trivirgatus_Jeastrab chochlatý
Accipiter ventralis_Jeastrab horský
Accipiter virgatus_Jeastrab besra
Aceros nipalensis_Zeobákorožec hrdzavý
Acridotheres burmannicus_Šekorec vínovoprsý
Acridotheres cristatellus_Šekorec chochlatý
Acridotheres fuscus_Šekorec džungľový
Acridotheres ginginianus_Šekorec pobrežný
Acridotheres grandis_Šekorec smútočný
Acridotheres tristis_Šekorec hnedý
Acrocephalus agricola_Tersteniarik roľný
Acrocephalus arundinaceus_Tersteniarik veľký
Acrocephalus australis_Tersteniarik hnedokrídly
Acrocephalus baeticatus_Tersteniarik záhradný
Acrocephalus bistrigiceps_Tersteniarik pestrohlavý
Acrocephalus dumetorum_Tersteniarik krovinový
Acrocephalus gracilirostris_Tersteniarik čiernonohý
Acrocephalus kerearako_Tersteniarik ostrovný
Acrocephalus melanopogon_Tersteniarik tamariškový
Acrocephalus newtoni_Tersteniarik madagaskarský
Acrocephalus orientalis_Tersteniarik východný
Acrocephalus paludicola_Tersteniarik vodný
Acrocephalus palustris_Tersteniarik obyčajný
Acrocephalus rufescens_Tersteniarik hnedkavý
Acrocephalus schoenobaenus_Tersteniarik malý
Acrocephalus scirpaceus_Tersteniarik bahenný
Acrocephalus stentoreus_Tersteniarik dlhozobý
