Abeillia abeillei_колібрі малахітовий
Abroscopus albogularis_війчик рудощокий
Abroscopus superciliaris_війчик білобровий
Aburria aburri_абурі
Acanthagenys rufogularis_медолюб-дзвіночок
Acanthidops bairdi_вівсянка гостродзьоба
Acanthis cabaret_чечітка мала
Acanthis flammea_чечітка звичайна
Acanthis hornemanni_чечітка біла
Acanthisitta chloris_стрілець
Acanthiza apicalis_шиподзьоб широкохвостий
Acanthiza chrysorrhoa_шиподзьоб жовтогузий
Acanthiza ewingii_шиподзьоб тасманійський
Acanthiza inornata_шиподзьоб лісовий
Acanthiza lineata_шиподзьоб смугастоволий
Acanthiza nana_шиподзьоб малий
Acanthiza pusilla_шиподзьоб бурий
Acanthiza reguloides_шиподзьоб золотомушковий
Acanthiza robustirostris_шиподзьоб сіроспинний
Acanthiza uropygialis_шиподзьоб рудогузий
Acanthorhynchus superciliosus_медолюб-шилодзьоб західний
Acanthorhynchus tenuirostris_медолюб-шилодзьоб східний
Accipiter badius_яструб туркестанський
Accipiter bicolor_яструб неотропічний
Accipiter cirrocephalus_яструб австралійський
Accipiter cooperii_яструб чорноголовий
Accipiter erythronemius_яструб бразильський
Accipiter fasciatus_яструб бурий
Accipiter gentilis_яструб великий
Accipiter gularis_яструб японський
Accipiter hiogaster_Variable Goshawk
Accipiter melanoleucus_яструб чорний
Accipiter minullus_яструб савановий
Accipiter nisus_яструб малий
Accipiter novaehollandiae_яструб тасманійський
Accipiter poliogaster_яструб сірочеревий
Accipiter striatus_яструб неоарктичний
Accipiter superciliosus_яструб-крихітка
Accipiter tachiro_яструб ангольський
Accipiter trinotatus_яструб плямистохвостий
Accipiter trivirgatus_яструб чубатий
Accipiter ventralis_яструб еквадорський
Accipiter virgatus_яструб яванський
Aceros nipalensis_калао непальський
Acridotheres burmannicus_майна бірманська
Acridotheres cristatellus_майна чубата
Acridotheres fuscus_майна джунглева
Acridotheres ginginianus_майна берегова
Acridotheres grandis_майна велика
Acridotheres tristis_майна індійська
Acrocephalus agricola_очеретянка індійська
Acrocephalus arundinaceus_очеретянка велика
Acrocephalus australis_очеретянка австралійська
Acrocephalus baeticatus_очеретянка африканська
Acrocephalus bistrigiceps_очеретянка чорноброва
Acrocephalus dumetorum_очеретянка садова
Acrocephalus gracilirostris_очеретянка світлоброва
Acrocephalus kerearako_очеретянка оливкова
Acrocephalus melanopogon_очеретянка тонкодзьоба
Acrocephalus newtoni_очеретянка мадагаскарська
Acrocephalus orientalis_очеретянка східна
Acrocephalus paludicola_очеретянка прудка
Acrocephalus palustris_очеретянка чагарникова
Acrocephalus rufescens_очеретянка бура
Acrocephalus schoenobaenus_очеретянка лучна
Acrocephalus scirpaceus_очеретянка ставкова
Acrocephalus stentoreus_очеретянка південна
Acrocephalus tangorum_очеретянка манчжурська
Acropternis orthonyx_тапакуло цяткований
Actenoides concretus_альціон малазійський
Actenoides hombroni_альціон синьоголовий
Actenoides lindsayi_альціон строкатий
Actenoides monachus_альціон білогорлий
Actinodura cyanouroptera_сіва
Actinodura egertoni_сибія рудолоба
Actinodura nipalensis_сибія непальська
Actinodura ramsayi_сибія бірманська
Actinodura strigula_мінла рудоголова
Actinodura waldeni_сибія юнанська
Actitis hypoleucos_набережник палеарктичний
Actitis macularius_набережник плямистий
Actophilornis africanus_якана африканська
Adelomyia melanogenys_колібрі плямистоволий
Aechmophorus clarkii_пірникоза кларка
Aechmophorus occidentalis_пірникоза західна
Aegithalos caudatus_ополовник звичайний, або синиця довгохвоста
Aegithalos concinnus_ополовник рудоголовий
Aegithalos glaucogularis_ополовник чорноголовий
Aegithalos niveogularis_ополовник білогорлий
Aegithina nigrolutea_йора мала
Aegithina tiphia_йора чорнокрила
Aegithina viridissima_йора зелена
Aegolius acadicus_сич північний
Aegolius funereus_сич волохатий
Aegolius harrisii_сич вохристолобий
Aegolius ridgwayi_сич білобровий
Aegotheles crinifrons_еготело молуцький
Aegotheles cristatus_еготело австралійський
Aeronautes andecolus_серпокрилець андійський
Aeronautes montivagus_серпокрилець гірський
Aeronautes saxatalis_серпокрилець білогорлий
Aethia pusilla_конюга-крихітка
Aethopyga christinae_сіпарая гайнанська
Aethopyga gouldiae_сіпарая жовточерева
Aethopyga ignicauda_сіпарая гімалайська
Aethopyga nipalensis_сіпарая непальська
Aethopyga saturata_сіпарая чорногруда
Aethopyga siparaja_сіпарая червона
Aethopyga temminckii_сіпарая кармінова
Aethopyga vigorsii_сіпарая вогниста
Agapornis fischeri_нерозлучник фішера
Agapornis personatus_нерозлучник масковий
Agapornis roseicollis_нерозлучник рожевощокий
Agapornis taranta_нерозлучник чорнокрилий
Agelaioides badius_вашер рудокрилий
Agelaius phoeniceus_еполетник червоноплечий
Agelaius tricolor_еполетник каліфорнійський
Agelasticus cyanopus_варілеро однобарвний
Agelasticus thilius_варілеро золотоплечий
Aglaiocercus coelestis_колібрі-сильф довгохвостий
Aglaiocercus kingii_колібрі-сильф королівський
Agriornis montanus_гохо гірський
Agropsar philippensis_шпак японський
Ailuroedus crassirostris_нявкун зелений
Ailuroedus maculosus_Spotted Catbird
Aimophila notosticta_пінсон чорнодзьобий
Aimophila rufescens_пінсон рудий
Aimophila ruficeps_пінсон рудоголовий
Aix galericulata_мандаринка
Aix sponsa_каролінка
Akletos goeldii_покривник червоноокий
Akletos melanoceps_покривник білоплечий
Alaemon alaudipes_пікір великий
Alauda arvensis_жайворонок польовий
Alauda gulgula_жайворонок індійський
Alauda leucoptera_жайворонок білокрилий
Alaudala cheleensis_Asian Short-toed Lark
Alaudala raytal_жайворонок крихітний
Alaudala rufescens_жайворонок сірий
Alca torda_гагарка мала
Alcedo atthis_рибалочка блакитний
Alcedo coerulescens_рибалочка лазуровий
Alcedo meninting_рибалочка темно-синій
Alcippe brunneicauda_альципа бурохвоста
Alcippe fratercula_Yunnan Fulvetta
Alcippe hueti_Huet's Fulvetta
Alcippe morrisonia_альципа сірощока
Alcippe nipalensis_альципа непальська
Alcippe peracensis_альципа чорноброва
Alcippe poioicephala_альципа сіроголова
Alcippe pyrrhoptera_альципа яванська
Aleadryas rufinucha_свистун жовтобородий
Alectoris barbara_кеклик берберійський
Alectoris chukar_кеклик кремовогорлий
Alectoris graeca_кеклик європейський
Alectoris rufa_кеклик червононогий
Alectura lathami_великоніг східний
Alethe castanea_алєте рудий
Alethe diademata_алєте сенегальський
Alipiopsitta xanthops_амазон жовточеревий
Alisterus scapularis_алістер королівський
Alophoixus flaveolus_бюльбюль-бородань білолобий
Alophoixus longirostris_Sula Golden-Bulbul
Alophoixus ochraceus_бюльбюль-бородань бурий
Alophoixus pallidus_бюльбюль-бородань великий
Alophoixus phaeocephalus_бюльбюль-бородань жовточеревий
Alopochelidon fucata_ластівка рудоголова
Alopochen aegyptiaca_каргарка нільська
Amalocichla incerta_чиркач малий
Amandava amandava_бенгалик червоний
Amaurolimnas concolor_пастушок бурий
Amaurornis cinerea_White-browed Crake
Amaurornis isabellina_багновик сулавеський
Amaurornis moluccana_багновик молуцький
Amaurornis phoenicurus_багновик білогрудий
Amaurospiza aequatorialis_Ecuadorian Seedeater
Amaurospiza concolor_семілеро синій
Amaurospiza moesta_семілеро бразильський
Amazilia amabilis_Blue-chested Hummingbird
Amazilia amazilia_Amazilia Hummingbird
Amazilia beryllina_Berylline Hummingbird
Amazilia brevirostris_White-chested Emerald
Amazilia candida_White-bellied Emerald
Amazilia castaneiventris_Chestnut-bellied Hummingbird
Amazilia chionogaster_White-bellied Hummingbird
Amazilia cyanifrons_Indigo-capped Hummingbird
Amazilia cyanocephala_Azure-crowned Hummingbird
Amazilia decora_Charming Hummingbird
Amazilia edward_Snowy-bellied Hummingbird
Amazilia fimbriata_Glittering-throated Emerald
Amazilia franciae_Andean Emerald
Amazilia lactea_Sapphire-spangled Emerald
Amazilia leucogaster_Plain-bellied Emerald
Amazilia luciae_аріан гондураський
Amazilia rosenbergi_Purple-chested Hummingbird
Amazilia rutila_амазилія руда
Amazilia saucerottei_Steely-vented Hummingbird
Amazilia tobaci_Copper-rumped Hummingbird
Amazilia tzacatl_цакатл, або амазилія рудохвоста
Amazilia versicolor_Versicolored Emerald
Amazilia violiceps_Violet-crowned Hummingbird
Amazilia viridicauda_Green-and-white Hummingbird
Amazilia yucatanensis_амазилія юкатанська
Amazona aestiva_амазон синьолобий
Amazona agilis_амазон ямайський
Amazona albifrons_амазон білолобий
Amazona amazonica_амазон венесуельський
Amazona auropalliata_Yellow-naped Parrot
Amazona autumnalis_амазон жовтощокий
Amazona brasiliensis_амазон червонохвостий
Amazona dufresniana_амазон синьощокий
